Player,Nation,Team,Position,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PenSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist_x,ShortCmp%,MedCmp%,LongCmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,TotDist_y,PrgDist,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Omar Marmoush,eg EGY,Manchester City,"FW,MF",26-086,13,12,998.0,6,0,0,0,4.8,1.7,21,29,68,0.54,0.00,0.43,0.15,N/a,N/a,N/a,N/a,42.1,42.1,0.16,18.0,203,78.1,2782,83.6,79.7,50.0,8,8,24,4,29,33,2.98,1,0.09,11,6,15,8,15,1,14,5,416,3,29,121,271,56,39,41.0,46.2,262,1606,760,15,11,37,15,295,68,13,17,9,25,32,5,8,38.5
Pablo Sarabia,es ESP,Wolves,"MF,FW",32-358,21,6,716.0,3,2,3,0,2.9,1.6,12,51,52,0.38,0.25,0.36,0.20,N/a,N/a,N/a,N/a,47.1,47.1,0.18,18.9,260,70.1,4467,86.8,77.8,49.3,36,36,17,2,51,25,3.14,4,0.50,15,8,14,5,10,0,10,4,465,4,53,227,188,23,13,46.2,38.5,272,1225,615,14,0,16,12,321,52,14,15,5,40,29,4,12,25.0
Patrick Dorgu,dk DEN,Manchester Utd,DF,20-190,8,7,585.0,0,0,3,1,0.4,0.4,25,21,53,0.00,0.00,0.06,0.07,N/a,N/a,N/a,N/a,22.2,22.2,0.00,16.2,261,79.6,3523,88.6,73.3,37.5,15,15,6,2,21,13,2.00,1,0.15,23,17,17,5,8,0,8,4,410,13,117,135,160,23,9,33.3,33.3,231,1247,793,13,4,10,8,260,53,13,19,3,28,26,11,5,68.8
Patson Daka,zm ZAM,Leicester City,"FW,MF",26-207,21,5,653.0,1,0,0,0,1.3,0.1,10,8,34,0.14,0.00,0.17,0.01,N/a,N/a,N/a,N/a,26.7,26.7,0.07,14.8,101,71.6,1400,80.3,72.1,100.0,6,6,1,0,8,10,1.38,1,0.14,17,9,17,10,7,1,6,1,239,9,41,109,94,28,15,13.3,66.7,134,684,309,7,5,19,10,158,34,12,17,3,3,18,10,27,27.0
Philip Billing,dk DEN,Bournemouth,MF,28-327,10,1,184.0,0,0,1,0,0.6,1.1,3,15,13,0.00,0.00,0.28,0.54,N/a,N/a,N/a,N/a,20.0,20.0,0.00,17.9,70,68.6,1023,84.3,70.4,26.7,9,9,7,2,15,16,7.83,0,0.00,14,5,4,1,3,0,3,5,148,5,20,72,57,12,3,33.3,0.0,58,254,163,1,1,7,4,75,13,3,2,0,10,14,6,4,60.0
Raheem Sterling,eng ENG,Arsenal,"FW,MF",30-147,16,6,437.0,0,2,1,0,1.3,0.5,25,17,73,0.00,0.41,0.27,0.10,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.0,141,77.0,1785,86.9,74.5,66.7,4,4,9,2,17,18,3.71,3,0.62,8,4,8,4,3,0,3,1,247,2,8,52,190,37,24,37.5,37.5,177,1273,686,9,15,11,14,187,73,12,4,4,14,14,1,3,25.0
Ramón Sosa,py PAR,Nott'ham Forest,"FW,MF",25-246,18,1,270.0,1,0,1,0,1.0,0.5,12,5,15,0.33,0.00,0.33,0.16,N/a,N/a,N/a,N/a,45.5,45.5,0.09,18.6,63,67.7,976,68.9,67.6,71.4,2,2,5,3,5,14,4.63,0,0.00,5,3,4,3,7,0,7,3,142,5,33,43,72,15,11,72.7,27.3,70,584,329,7,5,6,5,76,15,6,8,3,8,21,4,7,36.4
Reece James,eng ENG,Chelsea,"DF,MF",25-147,15,10,835.0,1,0,1,0,0.3,0.5,6,51,9,0.11,0.00,0.03,0.06,N/a,N/a,N/a,N/a,37.5,37.5,0.13,23.2,572,84.5,10299,94.3,88.9,51.5,72,72,5,1,51,15,1.62,1,0.11,9,9,9,6,12,4,8,12,759,32,213,423,128,4,16,37.5,37.5,397,1573,728,4,0,6,5,480,9,6,10,0,38,53,21,6,77.8
Reiss Nelson,eng ENG,Fulham,FW,25-145,11,5,487.0,1,1,1,0,1.1,1.0,45,35,63,0.18,0.18,0.20,0.18,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,N/a,N/a,N/a,0,0,0,0,0,0,0.00,0,0.00,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,N/a,N/a,1,4,4,0,0,0,0,1,0,1,1,0,0,0,0,0,N/a
Renato Veiga,pt POR,Chelsea,"DF,MF",21-279,7,1,181.0,0,0,2,0,0.1,0.0,4,7,3,0.00,0.00,0.07,0.00,N/a,N/a,N/a,N/a,33.3,33.3,0.00,17.1,118,84.9,2171,88.2,90.2,61.9,6,6,1,0,7,1,0.49,0,0.00,9,6,12,8,3,1,2,1,167,2,61,82,27,3,5,60.0,40.0,85,417,144,5,1,1,0,110,3,6,1,1,0,9,3,3,50.0
Ricardo Pereira,pt POR,Leicester City,DF,31-210,8,4,342.0,0,0,1,0,0.1,0.0,3,14,5,0.00,0.00,0.02,0.00,N/a,N/a,N/a,N/a,50.0,50.0,0.00,17.0,178,82.4,2899,86.7,83.7,85.7,18,18,0,0,14,3,0.79,0,0.00,11,6,12,6,6,2,4,2,255,14,78,141,37,5,8,62.5,25.0,132,389,147,3,2,2,0,143,5,4,6,0,3,16,4,2,66.7
Riccardo Calafiori,it ITA,Arsenal,DF,22-350,17,11,925.0,2,1,4,0,0.9,0.3,21,54,29,0.19,0.10,0.08,0.03,N/a,N/a,N/a,N/a,60.0,60.0,0.20,14.1,449,85.4,6549,91.6,85.7,67.9,40,40,9,1,54,13,1.26,2,0.19,26,18,29,11,12,6,6,9,628,30,161,249,222,29,13,69.2,23.1,291,1572,839,12,3,11,5,377,29,16,6,3,11,30,22,13,62.9
Richarlison,br BRA,Tottenham,FW,27-359,12,3,408.0,4,1,2,0,3.6,0.9,8,10,19,0.88,0.22,0.78,0.20,N/a,N/a,N/a,N/a,46.7,46.7,0.27,8.4,56,65.1,869,76.3,58.6,75.0,7,7,4,2,10,8,1.76,1,0.22,4,3,1,1,1,1,0,0,144,8,19,68,58,26,13,7.7,84.6,72,350,142,8,3,7,7,101,19,6,9,1,7,8,8,17,32.0
Robin Olsen,se SWE,Aston Villa,GK,35-116,3,1,180.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.00,55.6,100.0,N/a,N/a,N/a,N/a,N/a,54,71.1,1466,100.0,100.0,37.1,2,2,0,0,0,2,1.00,1,0.50,1,0,1,0,0,0,0,0,83,73,82,1,0,0,0,N/a,N/a,44,226,109,0,0,0,0,41,0,0,0,0,0,2,0,0,N/a
Rodrigo Gomes,pt POR,Wolves,"DF,FW",21-301,22,6,672.0,2,0,0,0,0.6,0.9,22,25,65,0.27,0.00,0.08,0.12,N/a,N/a,N/a,N/a,50.0,50.0,0.33,17.3,171,67.1,2520,78.4,70.5,26.1,10,10,12,4,25,21,2.82,0,0.00,21,13,19,9,8,1,7,5,348,23,85,118,152,26,14,35.7,42.9,178,1237,750,17,7,17,7,203,65,3,5,0,19,24,6,15,28.6
Rodrigo Muniz,br BRA,Fulham,FW,24-000,31,8,964.0,8,1,1,0,5.8,0.7,6,27,31,0.75,0.09,0.54,0.07,N/a,N/a,N/a,N/a,48.7,48.7,0.21,12.0,92,64.8,1540,67.6,68.9,84.6,13,13,3,0,27,17,1.59,2,0.19,10,5,4,0,9,2,7,5,311,14,27,161,127,55,18,33.3,50.0,157,651,187,4,3,47,24,237,31,11,31,3,1,14,67,63,51.5
Roman Dixon,eng ENG,Everton,DF,20-129,1,1,90.0,0,0,0,0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,11,57.9,205,75.0,50.0,33.3,3,3,0,0,0,0,0.00,0,0.00,5,5,4,0,1,0,1,1,36,8,19,14,4,0,3,0.0,100.0,16,107,48,0,0,2,0,13,1,0,0,0,0,6,0,3,0.0
Roméo Lavia,be BEL,Chelsea,MF,21-118,12,9,607.0,0,1,4,0,0.2,0.7,3,23,6,0.00,0.15,0.03,0.11,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.0,302,91.0,5086,90.4,94.6,80.0,39,39,3,0,23,13,1.93,2,0.30,19,11,16,8,6,0,6,13,387,13,91,242,58,1,13,61.5,38.5,230,1049,466,8,0,1,7,277,6,12,3,0,0,30,10,2,83.3
Ross Barkley,eng ENG,Aston Villa,MF,31-150,18,3,571.0,3,1,3,0,1.7,0.6,15,33,10,0.47,0.16,0.27,0.10,N/a,N/a,N/a,N/a,33.3,33.3,0.20,14.0,326,86.0,5081,88.5,91.4,68.4,29,29,6,0,33,18,2.84,3,0.47,13,3,14,5,9,3,6,10,445,16,70,264,117,18,11,72.7,27.3,263,1433,657,14,2,7,8,314,10,8,3,0,1,41,6,4,60.0
Ross Stewart,sct SCO,Southampton,FW,28-297,9,3,286.0,0,0,1,0,0.3,0.0,1,1,6,0.00,0.00,0.08,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,11.6,51,75.0,741,78.1,85.2,0.0,1,1,1,0,1,2,0.63,0,0.00,3,2,6,4,3,0,3,0,97,7,21,37,39,6,2,50.0,50.0,48,197,62,0,1,5,7,71,6,7,5,1,0,2,8,15,34.8
Ryan Fraser,sct SCO,Southampton,"FW,DF",31-069,8,4,306.0,0,0,0,1,0.0,0.1,10,8,18,0.00,0.00,0.01,0.03,N/a,N/a,N/a,N/a,100.0,100.0,0.00,31.6,77,74.8,1121,93.5,70.0,30.0,3,3,1,0,8,5,1.47,0,0.00,6,2,6,2,1,1,0,1,131,12,45,50,37,3,3,66.7,33.3,74,492,252,5,2,4,2,94,18,1,4,1,12,10,2,3,40.0
Ryan Sessegnon,eng ENG,Fulham,"FW,DF",24-351,13,6,470.0,4,2,1,0,1.6,1.0,14,14,50,0.77,0.38,0.30,0.19,N/a,N/a,N/a,N/a,53.8,53.8,0.31,12.6,124,76.5,1767,86.3,71.1,60.0,7,7,3,1,14,17,3.25,3,0.57,21,11,15,9,11,0,11,3,260,10,58,83,124,38,17,29.4,58.8,128,832,434,11,9,14,6,149,50,16,4,1,13,25,8,10,44.4
Sam Johnstone,eng ENG,Wolves,GK,32-040,7,7,630.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.43,61.5,0.0,0.0,N/a,N/a,N/a,N/a,184,66.2,5548,96.9,97.6,45.0,6,6,0,0,0,2,0.29,0,0.00,0,0,1,1,0,0,0,0,306,229,304,2,0,0,0,N/a,N/a,196,1221,756,0,0,0,0,179,0,0,0,0,0,9,4,0,100.0
Sammie Szmodics,ie IRL,Ipswich Town,"FW,MF",29-222,19,13,979.0,4,0,2,0,3.4,0.2,16,18,46,0.37,0.00,0.31,0.02,N/a,N/a,N/a,N/a,57.1,57.1,0.19,14.0,144,74.2,2402,87.0,84.4,51.7,10,10,4,1,18,9,0.83,0,0.00,15,9,23,17,10,2,8,6,309,17,80,119,116,33,12,33.3,50.0,174,989,399,8,7,24,17,189,46,9,8,8,13,41,6,11,35.3
Sean Longstaff,eng ENG,Newcastle Utd,MF,27-186,24,8,797.0,0,0,2,0,0.6,0.2,4,40,22,0.00,0.00,0.07,0.02,N/a,N/a,N/a,N/a,16.7,16.7,0.00,13.5,294,84.5,4403,87.0,92.5,68.2,26,26,1,0,40,14,1.58,2,0.23,27,16,27,9,17,5,12,7,433,23,122,193,121,21,7,28.6,57.1,248,1176,429,10,2,9,7,308,22,9,6,0,5,31,7,7,50.0
Sergio Reguilón,es ESP,Tottenham,DF,28-139,3,0,123.0,0,0,2,0,0.1,0.0,4,12,10,0.00,0.00,0.05,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,5.4,73,69.5,1144,75.0,76.6,33.3,11,11,2,1,12,1,0.73,0,0.00,4,3,3,1,4,0,4,2,121,2,28,61,33,3,4,50.0,0.0,64,293,180,2,1,1,1,74,10,2,5,0,10,9,5,2,71.4
Simon Adingra,ci CIV,Brighton,"FW,MF",23-123,25,9,888.0,2,1,0,0,2.2,1.8,35,14,114,0.20,0.10,0.22,0.18,N/a,N/a,N/a,N/a,28.0,28.0,0.08,16.2,232,74.8,3398,86.1,73.4,53.8,5,5,12,5,14,38,3.86,7,0.71,21,13,21,12,11,0,11,8,457,6,59,142,261,62,46,43.5,56.5,301,1999,968,17,19,33,10,316,114,10,2,2,34,38,5,3,62.5
Solly March,eng ENG,Brighton,"FW,MF",30-288,8,1,168.0,0,0,2,0,0.1,0.3,5,2,20,0.00,0.00,0.05,0.15,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.5,60,63.2,990,87.5,57.1,38.9,2,2,4,4,2,7,3.77,2,1.08,6,3,8,3,3,0,3,2,118,3,12,33,73,7,4,25.0,75.0,57,398,167,2,3,3,1,67,20,2,2,3,20,7,1,2,33.3
Sven Botman,nl NED,Newcastle Utd,DF,25-112,4,3,232.0,0,0,1,0,0.0,0.0,0,3,0,0.00,0.00,0.01,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,11.7,119,88.1,2026,85.1,98.1,70.0,9,9,0,0,3,0,0.00,0,0.00,6,4,3,1,2,1,1,4,165,24,67,93,6,5,3,33.3,33.3,85,357,178,1,0,1,1,107,0,4,2,0,0,8,11,6,64.7
Séamus Coleman,ie IRL,Everton,DF,36-205,3,2,197.0,0,0,1,0,0.6,0.0,1,8,2,0.00,0.00,0.26,0.00,N/a,N/a,N/a,N/a,100.0,100.0,0.00,10.5,57,72.2,1046,93.1,77.4,37.5,6,6,0,0,8,2,0.91,1,0.46,2,1,3,1,5,3,2,1,100,11,39,43,19,2,5,80.0,20.0,43,225,109,1,0,1,1,51,2,0,1,0,3,7,1,1,50.0
Taiwo Awoniyi,ng NGA,Nott'ham Forest,FW,27-265,25,3,408.0,1,0,0,0,2.1,0.1,6,7,20,0.22,0.00,0.47,0.02,N/a,N/a,N/a,N/a,40.0,40.0,0.10,12.6,61,64.2,705,72.4,56.0,20.0,5,5,2,0,7,9,1.98,1,0.22,6,3,5,1,1,0,1,0,166,5,16,78,73,21,9,44.4,55.6,89,390,183,5,2,19,19,112,20,8,10,1,2,18,13,38,25.5
Tariq Lamptey,gh GHA,Brighton,DF,24-216,13,9,765.0,2,2,0,0,0.4,0.8,25,12,40,0.24,0.24,0.05,0.09,N/a,N/a,N/a,N/a,33.3,33.3,0.33,18.5,314,82.4,4884,93.4,80.0,51.4,11,11,5,4,12,15,1.76,3,0.35,14,10,22,15,12,5,7,6,489,25,147,208,137,9,27,33.3,55.6,267,1867,893,13,2,9,4,276,40,12,10,0,24,35,1,12,7.7
Thiago,br BRA,Brentford,FW,23-312,4,1,132.0,0,0,0,0,0.1,0.1,3,2,4,0.00,0.00,0.07,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,14.7,28,71.8,428,70.0,75.0,75.0,1,1,1,0,2,2,1.36,0,0.00,2,2,1,1,0,0,0,2,56,6,11,23,23,2,3,66.7,33.3,34,119,42,2,1,5,1,35,4,3,3,1,1,9,4,3,57.1
Tim Iroegbunam,eng ENG,Everton,MF,21-308,17,5,567.0,0,1,4,0,0.2,0.2,8,14,9,0.00,0.16,0.04,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.5,110,71.9,1842,72.5,84.0,68.4,10,10,1,0,14,10,1.59,1,0.16,28,13,23,9,17,4,13,15,260,21,82,124,60,12,20,40.0,40.0,122,723,360,10,2,10,18,110,9,15,12,0,1,48,11,4,73.3
Timo Werner,de GER,Tottenham,"FW,MF",29-059,18,4,516.0,0,3,0,0,1.0,2.5,42,30,89,0.00,0.52,0.17,0.44,N/a,N/a,N/a,N/a,37.5,37.5,0.00,18.2,158,66.9,2383,82.5,70.9,38.9,3,3,15,2,30,18,3.13,3,0.52,6,4,13,10,10,1,9,1,298,8,24,78,203,33,19,52.6,42.1,215,1768,1062,24,18,14,6,227,89,3,5,5,28,18,0,1,0.0
Toby Collyer,eng ENG,Manchester Utd,MF,21-121,6,0,179.0,0,0,0,0,0.2,0.3,0,5,2,0.00,0.00,0.09,0.13,N/a,N/a,N/a,N/a,0.0,0.0,0.00,6.2,76,82.6,1127,86.0,86.5,75.0,3,3,1,0,5,5,2.50,0,0.00,12,9,6,1,2,1,1,2,129,9,46,59,25,3,2,50.0,50.0,68,239,56,0,0,11,1,71,2,2,4,0,0,17,3,1,75.0
Tom Cairney,sct SCO,Fulham,MF,34-104,22,2,494.0,1,0,3,1,0.2,1.0,14,47,29,0.18,0.00,0.04,0.17,N/a,N/a,N/a,N/a,40.0,40.0,0.20,23.3,482,90.4,7576,93.4,93.3,74.4,46,46,7,3,47,28,5.08,3,0.54,11,5,7,3,5,1,4,4,576,6,83,305,196,12,12,33.3,33.3,385,1848,884,15,4,5,4,468,29,8,17,0,17,44,4,8,33.3
Tommy Doyle,eng ENG,Wolves,MF,23-199,24,3,488.0,0,1,1,0,0.6,0.5,6,40,4,0.00,0.18,0.10,0.09,N/a,N/a,N/a,N/a,22.2,22.2,0.00,24.5,321,81.9,6591,94.1,89.0,65.6,44,44,3,0,40,17,3.13,3,0.55,11,6,15,9,11,5,6,5,463,22,128,258,80,4,9,55.6,11.1,260,1417,578,3,0,9,4,303,4,5,5,0,15,43,1,6,14.3
Trevoh Chalobah,eng ENG,Chelsea,DF,25-303,11,9,746.0,0,1,1,0,0.7,1.2,4,34,2,0.00,0.12,0.09,0.14,N/a,N/a,N/a,N/a,36.4,36.4,0.27,15.1,349,79.0,6831,88.7,85.2,51.2,27,27,2,1,34,11,0.93,0,0.00,20,16,23,11,19,9,10,19,594,66,275,276,51,14,10,60.0,20.0,278,1213,661,9,1,4,7,317,6,10,15,1,7,56,22,19,53.7
Tyler Fredricson,eng ENG,Manchester Utd,DF,20-070,1,1,90.0,0,0,0,0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,64,92.8,1087,93.8,93.3,100.0,6,6,0,0,4,2,2.00,0,0.00,4,2,1,1,0,0,0,1,76,6,27,42,7,1,1,100.0,0.0,40,161,82,1,0,0,0,54,0,0,2,0,0,6,5,2,71.4
Tyrell Malacia,nl NED,Manchester Utd,DF,25-260,3,2,100.0,0,0,1,0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.03,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,49,89.1,642,93.9,92.9,100.0,7,7,1,0,3,2,1.80,0,0.00,2,1,2,1,0,0,0,1,62,2,20,27,15,0,1,100.0,0.0,37,190,118,2,0,1,2,43,6,3,2,0,1,3,0,0,N/a
Tyrique George,eng ENG,Chelsea,FW,19-089,7,0,103.0,1,1,1,0,0.2,0.7,9,2,18,0.87,0.87,0.17,0.63,N/a,N/a,N/a,N/a,33.3,33.3,0.33,15.0,38,82.6,494,91.3,82.4,0.0,0,0,1,0,2,6,5.24,1,0.87,2,0,3,1,0,0,0,1,56,1,10,14,33,8,4,75.0,25.0,38,348,208,1,5,1,0,44,18,2,0,1,3,3,0,3,0.0
Victor Lindelöf,se SWE,Manchester Utd,DF,30-291,12,4,470.0,0,0,1,0,0.0,0.1,1,9,1,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,196,93.8,3139,92.2,97.2,75.0,6,6,2,1,9,4,0.77,0,0.00,5,1,3,1,4,2,2,7,264,40,156,101,7,3,0,N/a,N/a,137,605,255,0,0,1,0,171,1,7,1,0,1,11,10,13,43.5
Vladimír Coufal,cz CZE,West Ham,DF,32-255,18,9,865.0,0,0,4,0,0.2,0.6,15,32,25,0.00,0.00,0.02,0.06,N/a,N/a,N/a,N/a,25.0,25.0,0.00,16.7,363,77.7,5924,89.4,80.1,41.7,35,35,12,7,32,13,1.35,1,0.10,17,11,18,11,13,11,2,8,579,56,224,242,116,10,7,28.6,28.6,231,1245,632,5,2,10,6,314,25,20,14,0,20,28,18,12,60.0
Wataru Endo,jp JPN,Liverpool,MF,32-084,17,0,169.0,0,0,0,0,0.0,0.0,0,9,2,0.00,0.00,0.00,0.01,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,90,92.8,1447,91.8,97.2,100.0,9,9,1,0,9,3,1.58,0,0.00,8,6,8,3,5,0,5,3,130,5,31,77,23,2,1,100.0,0.0,52,180,47,0,1,6,2,81,2,14,6,0,0,7,2,3,40.0
Welington,br BRA,Southampton,"DF,MF",24-074,7,3,215.0,0,0,1,0,0.0,0.0,3,6,10,0.00,0.00,0.02,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,31.3,69,77.5,1098,82.9,78.0,75.0,5,5,5,4,6,6,2.51,1,0.42,13,5,12,5,3,1,2,3,131,11,46,48,40,2,4,75.0,0.0,47,200,116,3,1,6,0,55,10,3,5,0,10,10,0,2,0.0
Wes Burns,wls WAL,Ipswich Town,"FW,DF",30-162,18,12,926.0,0,1,1,0,0.5,1.6,38,8,65,0.00,0.10,0.05,0.16,N/a,N/a,N/a,N/a,14.3,14.3,0.00,18.3,153,60.5,2416,80.4,65.4,38.9,8,8,8,7,8,16,1.55,1,0.10,13,11,10,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,1458,696,13,10,17,13,220,65,4,11,0,46,50,8,21,27.6
William Osula,dk DEN,Newcastle Utd,FW,21-273,12,0,104.0,1,0,0,0,0.1,0.1,2,2,12,0.87,0.00,0.10,0.08,N/a,N/a,N/a,N/a,33.3,33.3,0.33,14.5,11,61.1,126,61.5,50.0,N/a,0,0,1,0,2,2,1.73,0,0.00,1,0,2,2,0,0,0,4,41,1,2,17,22,4,6,50.0,50.0,25,151,55,1,0,5,5,27,12,2,1,1,1,2,4,1,80.0
William Smallbone,ie IRL,Southampton,MF,25-072,15,6,646.0,1,0,1,0,0.4,0.6,5,25,23,0.14,0.00,0.06,0.09,N/a,N/a,N/a,N/a,16.7,16.7,0.17,19.3,257,77.6,4218,87.1,85.0,38.8,11,11,3,2,25,15,2.09,0,0.00,18,11,21,14,8,0,8,2,401,15,76,198,131,14,6,66.7,33.3,182,774,391,9,1,11,5,243,23,11,3,0,34,23,4,2,66.7
Willian,br BRA,Fulham,"FW,MF",36-268,9,2,241.0,0,0,0,0,0.3,0.5,9,38,31,0.00,0.00,0.10,0.17,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.1,163,85.8,2905,94.2,86.1,73.7,18,18,10,2,38,15,5.60,0,0.00,3,1,5,4,0,0,0,1,211,1,17,76,122,6,6,16.7,50.0,139,935,460,9,2,3,1,168,31,1,0,0,13,14,1,2,33.3
Willy Boly,ci CIV,Nott'ham Forest,DF,34-090,6,1,150.0,0,0,1,0,0.1,0.0,0,2,0,0.00,0.00,0.04,0.00,N/a,N/a,N/a,N/a,100.0,100.0,0.00,10.2,55,78.6,1010,90.9,93.8,26.7,3,3,0,0,2,0,0.00,0,0.00,6,1,4,0,4,2,2,3,97,22,63,32,2,1,0,N/a,N/a,35,128,45,0,0,1,0,46,0,1,0,0,0,5,6,2,75.0
Wilson Odobert,fr FRA,Tottenham,FW,20-157,12,6,539.0,0,0,0,0,0.7,0.9,38,19,54,0.00,0.00,0.12,0.15,N/a,N/a,N/a,N/a,20.0,20.0,0.00,17.3,166,77.9,2170,92.1,70.4,55.6,6,6,10,3,19,12,2.01,1,0.17,8,2,10,5,4,0,4,3,291,4,28,103,162,31,28,39.3,50.0,209,1651,981,20,17,15,13,219,54,0,3,0,20,27,3,4,42.9
Woyo Coulibaly,fr FRA,Leicester City,DF,25-349,4,1,109.0,0,0,1,0,0.0,0.0,4,3,2,0.00,0.00,0.04,0.00,N/a,N/a,N/a,N/a,50.0,50.0,0.00,19.4,48,84.2,797,82.4,84.2,100.0,3,3,0,0,3,0,0.00,0,0.00,6,4,2,0,3,1,2,5,76,8,27,31,20,4,1,0.0,100.0,48,288,169,2,1,4,0,36,2,2,1,0,0,14,0,3,0.0
Yerson Mosquera,co COL,Wolves,DF,24-002,5,5,441.0,0,0,2,0,0.3,0.1,0,7,0,0.00,0.00,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,12.4,205,85.4,3996,90.4,93.5,62.9,16,16,1,1,7,5,1.02,0,0.00,11,7,14,5,13,10,3,10,294,43,170,115,12,7,0,N/a,N/a,168,683,322,1,0,4,1,182,0,6,7,1,2,24,11,6,64.7
Álex Moreno,es ESP,Nott'ham Forest,"DF,MF",31-330,15,11,955.0,0,1,2,0,0.2,1.3,26,34,34,0.00,0.09,0.02,0.12,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.7,308,72.0,4574,87.6,64.2,35.0,25,25,9,2,34,16,1.51,2,0.19,25,18,39,24,11,5,6,15,559,60,210,202,158,8,21,38.1,38.1,229,1470,864,16,4,13,6,258,34,12,6,0,19,50,3,11,21.4
